vid,did,vid_hex,did_hex,family,source
4096,19,1000,0013,GenericPCI,pci_ids
4096,20,1000,0014,GenericPCI,pci_ids
4096,4136,1000,1028,GenericPCI,pci_ids
4096,4407,1000,1137,GenericPCI,pci_ids
4096,7497,1000,1D49,GenericPCI,pci_ids
4096,32902,1000,8086,GenericPCI,pci_ids
4096,21,1000,0015,GenericPCI,pci_ids
4096,22,1000,0016,GenericPCI,pci_ids
4096,23,1000,0017,GenericPCI,pci_ids
4096,27,1000,001B,GenericPCI,pci_ids
4096,28,1000,001C,GenericPCI,pci_ids
4096,32,1000,0020,GenericPCI,pci_ids
4096,4219,1000,107B,GenericPCI,pci_ids
4096,33,1000,0021,GenericPCI,pci_ids
4096,4156,1000,103C,GenericPCI,pci_ids
4096,4683,1000,124B,GenericPCI,pci_ids
4096,47,1000,002F,GenericPCI,pci_ids
4096,48,1000,0030,GenericPCI,pci_ids
4096,5549,1000,15AD,GenericPCI,pci_ids
4096,5940,1000,1734,GenericPCI,pci_ids
4096,49,1000,0031,GenericPCI,pci_ids
4096,50,1000,0032,GenericPCI,pci_ids
4096,51,1000,0033,GenericPCI,pci_ids
4096,64,1000,0040,GenericPCI,pci_ids
4096,65,1000,0041,GenericPCI,pci_ids
4096,80,1000,0050,GenericPCI,pci_ids
4096,82,1000,0052,GenericPCI,pci_ids
4096,83,1000,0053,GenericPCI,pci_ids
4096,84,1000,0054,GenericPCI,pci_ids
4096,85,1000,0055,GenericPCI,pci_ids
4096,4147,1000,1033,GenericPCI,pci_ids
4096,86,1000,0056,GenericPCI,pci_ids
4096,4116,1000,1014,GenericPCI,pci_ids
4096,87,1000,0057,GenericPCI,pci_ids
4096,88,1000,0058,GenericPCI,pci_ids
4096,89,1000,0059,GenericPCI,pci_ids
4096,90,1000,005A,GenericPCI,pci_ids
4096,91,1000,005B,GenericPCI,pci_ids
4096,5593,1000,15D9,GenericPCI,pci_ids
4096,92,1000,005C,GenericPCI,pci_ids
4096,93,1000,005D,GenericPCI,pci_ids
4096,6058,1000,17AA,GenericPCI,pci_ids
4096,7124,1000,1BD4,GenericPCI,pci_ids
4096,94,1000,005E,GenericPCI,pci_ids
4096,95,1000,005F,GenericPCI,pci_ids
4096,4180,1000,1054,GenericPCI,pci_ids
4096,96,1000,0060,GenericPCI,pci_ids
4096,4163,1000,1043,GenericPCI,pci_ids
4096,4464,1000,1170,GenericPCI,pci_ids
4096,6305,1000,18A1,GenericPCI,pci_ids
4096,98,1000,0062,GenericPCI,pci_ids
4096,100,1000,0064,GenericPCI,pci_ids
4096,101,1000,0065,GenericPCI,pci_ids
4096,110,1000,006E,GenericPCI,pci_ids
4096,112,1000,0070,GenericPCI,pci_ids
4096,113,1000,0071,GenericPCI,pci_ids
4096,114,1000,0072,GenericPCI,pci_ids
4096,19538,1000,4C52,GenericPCI,pci_ids
4096,115,1000,0073,GenericPCI,pci_ids
4096,116,1000,0074,GenericPCI,pci_ids
4096,118,1000,0076,GenericPCI,pci_ids
4096,119,1000,0077,GenericPCI,pci_ids
4096,121,1000,0079,GenericPCI,pci_ids
4096,124,1000,007C,GenericPCI,pci_ids
4096,126,1000,007E,GenericPCI,pci_ids
4096,4238,1000,108E,GenericPCI,pci_ids
4096,128,1000,0080,GenericPCI,pci_ids
4096,129,1000,0081,GenericPCI,pci_ids
4096,130,1000,0082,GenericPCI,pci_ids
4096,131,1000,0083,GenericPCI,pci_ids
4096,132,1000,0084,GenericPCI,pci_ids
4096,133,1000,0085,GenericPCI,pci_ids
4096,134,1000,0086,GenericPCI,pci_ids
4096,135,1000,0087,GenericPCI,pci_ids
4096,5520,1000,1590,GenericPCI,pci_ids
4096,143,1000,008F,GenericPCI,pci_ids
4096,144,1000,0090,GenericPCI,pci_ids
4096,145,1000,0091,GenericPCI,pci_ids
4096,148,1000,0094,GenericPCI,pci_ids
4096,149,1000,0095,GenericPCI,pci_ids
4096,150,1000,0096,GenericPCI,pci_ids
4096,151,1000,0097,GenericPCI,pci_ids
4096,165,1000,00A5,GenericPCI,pci_ids
4096,171,1000,00AB,GenericPCI,pci_ids
4096,172,1000,00AC,GenericPCI,pci_ids
4096,174,1000,00AE,GenericPCI,pci_ids
4096,175,1000,00AF,GenericPCI,pci_ids
4096,178,1000,00B2,GenericPCI,pci_ids
4096,179,1000,00B3,GenericPCI,pci_ids
4096,180,1000,00B4,GenericPCI,pci_ids
4096,181,1000,00B5,GenericPCI,pci_ids
4096,182,1000,00B6,GenericPCI,pci_ids
4096,184,1000,00B8,GenericPCI,pci_ids
4096,190,1000,00BE,GenericPCI,pci_ids
4096,191,1000,00BF,GenericPCI,pci_ids
4096,192,1000,00C0,GenericPCI,pci_ids
4096,193,1000,00C1,GenericPCI,pci_ids
4096,194,1000,00C2,GenericPCI,pci_ids
4096,195,1000,00C3,GenericPCI,pci_ids
4096,196,1000,00C4,GenericPCI,pci_ids
4096,197,1000,00C5,GenericPCI,pci_ids
4096,198,1000,00C6,GenericPCI,pci_ids
4096,199,1000,00C7,GenericPCI,pci_ids
4096,200,1000,00C8,GenericPCI,pci_ids
4096,201,1000,00C9,GenericPCI,pci_ids
4096,206,1000,00CE,GenericPCI,pci_ids
4096,207,1000,00CF,GenericPCI,pci_ids
4096,208,1000,00D0,GenericPCI,pci_ids
4096,209,1000,00D1,GenericPCI,pci_ids
4096,211,1000,00D3,GenericPCI,pci_ids
4096,224,1000,00E0,GenericPCI,pci_ids
4096,225,1000,00E1,GenericPCI,pci_ids
4096,226,1000,00E2,GenericPCI,pci_ids
